Filename                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
app/async_sync.rs                                          144               144     0.00%          11                11     0.00%         103               103     0.00%           0                 0         -
app/autosave_hooks.rs                                        3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
app/mod.rs                                                  41                41     0.00%           3                 3     0.00%          40                40     0.00%           0                 0         -
app/state.rs                                                32                32     0.00%           2                 2     0.00%          19                19     0.00%           0                 0         -
app/validation.rs                                          132               132     0.00%          11                11     0.00%          83                83     0.00%           0                 0         -
core/clipboard.rs                                          184               184     0.00%          12                12     0.00%         101               101     0.00%           0                 0         -
core/delete.rs                                              48                48     0.00%           2                 2     0.00%          25                25     0.00%           0                 0         -
core/grouping/mod.rs                                       117                 3    97.44%           7                 0   100.00%          67                 0   100.00%           0                 0         -
core/history.rs                                             26                26     0.00%           2                 2     0.00%          14                14     0.00%           0                 0         -
core/keyboard.rs                                            42                42     0.00%           1                 1     0.00%          25                25     0.00%           0                 0         -
core/nudge.rs                                               38                38     0.00%           2                 2     0.00%          28                28     0.00%           0                 0         -
core/routing.rs                                            117                21    82.05%          13                 5    61.54%         102                29    71.57%           0                 0         -
core/scale.rs                                               48                 0   100.00%           2                 0   100.00%          32                 0   100.00%           0                 0         -
core/transform.rs                                          305               305     0.00%          36                36     0.00%         215               215     0.00%           0                 0         -
core/z_order.rs                                            208               208     0.00%          20                20     0.00%         123               123     0.00%           0                 0         -
export/png.rs                                               82                82     0.00%           4                 4     0.00%          55                55     0.00%           0                 0         -
export/svg.rs                                               28                28     0.00%           1                 1     0.00%          12                12     0.00%           0                 0         -
export/svg_builder/edges.rs                                 78                78     0.00%           5                 5     0.00%          81                81     0.00%           0                 0         -
export/svg_builder/fonts.rs                                 35                35     0.00%           2                 2     0.00%          17                17     0.00%           0                 0         -
export/svg_builder/grid.rs                                  77                77     0.00%           5                 5     0.00%          69                69     0.00%           0                 0         -
export/svg_builder/nodes.rs                                 38                38     0.00%           1                 1     0.00%          20                20     0.00%           0                 0         -
export/svg_builder/styles.rs                                 7                 7     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
geometry/hit_test_margin.rs                                 76                 2    97.37%           5                 0   100.00%          40                 0   100.00%           0                 0         -
geometry/intersection.rs                                   447               104    76.73%          19                 2    89.47%         181                40    77.90%           0                 0         -
geometry/operations.rs                                     161               161     0.00%          14                14     0.00%          82                82     0.00%           0                 0         -
geometry/operations/container_bounds.rs                    105               105     0.00%           4                 4     0.00%          62                62     0.00%           0                 0         -
geometry/operations/edge_bounds.rs                         209               209     0.00%           6                 6     0.00%         105               105     0.00%           0                 0         -
geometry/path.rs                                           192               192     0.00%          11                11     0.00%         115               115     0.00%           0                 0         -
geometry/polygon.rs                                          3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
geometry/routing.rs                                        185                14    92.43%          13                 1    92.31%         112                 9    91.96%           0                 0         -
geometry/snap/alignment/anchor.rs                          152                 8    94.74%          24                 2    91.67%          92                 6    93.48%           0                 0         -
geometry/snap/alignment/distribute.rs                       64                 0   100.00%           7                 0   100.00%          38                 0   100.00%           0                 0         -
geometry/snap/alignment/guide.rs                           102                11    89.22%          10                 0   100.00%          59                 5    91.53%           0                 0         -
geometry/snap/alignment/node_snap.rs                       129                 1    99.22%           4                 0   100.00%          75                 1    98.67%           0                 0         -
geometry/snap/alignment/resize.rs                           75                36    52.00%           6                 3    50.00%          85                40    52.94%           0                 0         -
geometry/snap/grid.rs                                       23                12    47.83%           2                 1    50.00%          15                 7    53.33%           0                 0         -
geometry/snap/grid_snap.rs                                  57                26    54.39%           5                 3    40.00%          42                16    61.90%           0                 0         -
geometry/snap/mod.rs                                       134                30    77.61%          15                 4    73.33%          95                13    86.32%           0                 0         -
geometry/snap/mod_types.rs                                  80                30    62.50%          20                 7    65.00%          81                23    71.60%           0                 0         -
geometry/transforms.rs                                     184               184     0.00%          10                10     0.00%         104               104     0.00%           0                 0         -
hooks/e2e_reset.rs                                          77                77     0.00%           4                 4     0.00%          89                89     0.00%           0                 0         -
hooks/keyboard.rs                                          104               104     0.00%           4                 4     0.00%         125               125     0.00%           0                 0         -
icons.rs                                                     6                 6     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
layout/dag.rs                                               92                92     0.00%           8                 8     0.00%          59                59     0.00%           0                 0         -
layout/dag/apply.rs                                         53                53     0.00%           5                 5     0.00%          41                41     0.00%           0                 0         -
layout/dag/crossing.rs                                      91                91     0.00%          10                10     0.00%          69                69     0.00%           0                 0         -
layout/dag/graph.rs                                         59                59     0.00%           6                 6     0.00%          36                36     0.00%           0                 0         -
layout/dag/layering.rs                                      50                50     0.00%           6                 6     0.00%          29                29     0.00%           0                 0         -
layout/dag/positioning.rs                                   42                42     0.00%           3                 3     0.00%          24                24     0.00%           0                 0         -
layout/dag_tests/proptests_helpers.rs                       41                41     0.00%           3                 3     0.00%          54                54     0.00%           0                 0         -
layout/grid/algorithm.rs                                   232               232     0.00%          25                25     0.00%         134               134     0.00%           0                 0         -
main.rs                                                     23                23     0.00%           1                 1     0.00%          12                12     0.00%           0                 0         -
mutation/error.rs                                           12                12     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
mutation/ops.rs                                             49                49     0.00%           3                 3     0.00%          36                36     0.00%           0                 0         -
mutation/pipeline.rs                                        31                31     0.00%           3                 3     0.00%          37                37     0.00%           0                 0         -
mutation/pipeline_stages/apply.rs                            3                 3     0.00%           1                 1     0.00%           8                 8     0.00%           0                 0         -
mutation/pipeline_stages/conflict_resolution.rs              3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
mutation/pipeline_stages/history_append.rs                   8                 8     0.00%           1                 1     0.00%          10                10     0.00%           0                 0         -
mutation/pipeline_stages/validation.rs                      19                19     0.00%           3                 3     0.00%          15                15     0.00%           0                 0         -
mutation/ui_helpers.rs                                      82                82     0.00%           8                 8     0.00%          64                64     0.00%           0                 0         -
store/types/core_types.rs                                   63                13    79.37%          12                 2    83.33%          53                11    79.25%           0                 0         -
store/types/durable_types.rs                                41                41     0.00%           4                 4     0.00%          32                32     0.00%           0                 0         -
store/types/outbox_types.rs                                 38                38     0.00%           4                 4     0.00%          30                30     0.00%           0                 0         -
store/types/pagination_types.rs                              6                 6     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
store_async/append.rs                                      322                74    77.02%          22                13    40.91%         220                49    77.73%           0                 0         -
store_async/bootstrap.rs                                   174                23    86.78%           8                 0   100.00%         137                 3    97.81%           0                 0         -
store_async/fetch.rs                                       124                66    46.77%          10                 6    40.00%          85                39    54.12%           0                 0         -
store_async/parse.rs                                        65                33    49.23%           7                 4    42.86%          46                20    56.52%           0                 0         -
store_async/revision.rs                                     25                14    44.00%           6                 4    33.33%          17                 9    47.06%           0                 0         -
store_async/types.rs                                        14                14     0.00%           2                 2     0.00%          14                14     0.00%           0                 0         -
store_bridge.rs                                            298                17    94.30%          26                 3    88.46%         158                 4    97.47%           0                 0         -
test_utils/builders/doc.rs                                 153               153     0.00%          11                11     0.00%         108               108     0.00%           0                 0         -
test_utils/builders/edge.rs                                 55                55     0.00%           7                 7     0.00%          62                62     0.00%           0                 0         -
test_utils/builders/node.rs                                109                44    59.63%          15                 8    46.67%          88                33    62.50%           0                 0         -
test_utils/fixtures.rs                                     161               161     0.00%          26                26     0.00%         125               125     0.00%           0                 0         -
test_utils/generators.rs                                   207               207     0.00%           9                 9     0.00%         161               161     0.00%           0                 0         -
test_utils/harness.rs                                       83                83     0.00%           4                 4     0.00%          75                75     0.00%           0                 0         -
test_utils/types.rs                                         49                49     0.00%           6                 6     0.00%          52                52     0.00%           0                 0         -
ui/canvas.rs                                                 1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
ui/canvas/canvas_view/edge.rs                              133               133     0.00%           9                 9     0.00%          75                75     0.00%           0                 0         -
ui/canvas/canvas_view/edge_preview.rs                       47                47     0.00%           6                 6     0.00%          30                30     0.00%           0                 0         -
ui/canvas/canvas_view/geometry.rs                          203               203     0.00%           9                 9     0.00%          89                89     0.00%           0                 0         -
ui/canvas/canvas_view/geometry_proptests.rs                  3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
ui/canvas/canvas_view/hit_test/edge.rs                     114               114     0.00%           7                 7     0.00%          63                63     0.00%           0                 0         -
ui/canvas/canvas_view/markers.rs                            21                21     0.00%           3                 3     0.00%          26                26     0.00%           0                 0         -
ui/canvas/canvas_view/rubber_band.rs                        32                32     0.00%           3                 3     0.00%          25                25     0.00%           0                 0         -
ui/canvas/canvas_view/selection_handles.rs                  79                79     0.00%           4                 4     0.00%          78                78     0.00%           0                 0         -
ui/canvas/canvas_view/subgraph_preview.rs                   36                36     0.00%           3                 3     0.00%          27                27     0.00%           0                 0         -
ui/canvas/canvas_view/touch.rs                              29                29     0.00%           3                 3     0.00%          28                28     0.00%           0                 0         -
ui/canvas/document_ops/mutations/pointer.rs                 51                51     0.00%           2                 2     0.00%          56                56     0.00%           0                 0         -
ui/canvas/document_ops/mutations/pointer_drag.rs           112               112     0.00%           9                 9     0.00%          98                98     0.00%           0                 0         -
ui/canvas/document_ops/mutations/pointer_pan.rs             21                21     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
ui/canvas/document_ops/mutations/pointer_resize.rs         194               194     0.00%           4                 4     0.00%         117               117     0.00%           0                 0         -
ui/canvas/document_ops/mutations/rubber_band.rs             30                30     0.00%           2                 2     0.00%          21                21     0.00%           0                 0         -
ui/canvas/document_ops/mutations/scale.rs                   71                71     0.00%           1                 1     0.00%          37                37     0.00%           0                 0         -
ui/canvas/document_ops/mutations/wheel.rs                   35                35     0.00%           2                 2     0.00%          29                29     0.00%           0                 0         -
ui/canvas/document_ops/queries.rs                          267               267     0.00%          29                29     0.00%         168               168     0.00%           0                 0         -
ui/canvas/domain/canvas_event.rs                            41                18    56.10%           1                 0   100.00%          21                 9    57.14%           0                 0         -
ui/canvas/domain/input/config.rs                            24                24     0.00%           3                 3     0.00%          22                22     0.00%           0                 0         -
ui/canvas/domain/input/processor.rs                        122               122     0.00%           7                 7     0.00%         111               111     0.00%           0                 0         -
ui/canvas/domain/input/types.rs                             12                12     0.00%           3                 3     0.00%          11                11     0.00%           0                 0         -
ui/canvas/domain/interaction_state.rs                       19                 2    89.47%           1                 0   100.00%          10                 1    90.00%           0                 0         -
ui/canvas/domain/test_utils/interaction_dsl.rs              80                80     0.00%           7                 7     0.00%          57                57     0.00%           0                 0         -
ui/canvas/domain/test_utils/parse_helpers.rs                42                20    52.38%           6                 2    66.67%          66                29    56.06%           0                 0         -
ui/canvas/domain/transition.rs                              85                64    24.71%           4                 1    75.00%          79                60    24.05%           0                 0         -
ui/canvas/domain/types.rs                                   24                 0   100.00%           3                 0   100.00%          17                 0   100.00%           0                 0         -
ui/canvas/edge_layer.rs                                    219               219     0.00%          13                13     0.00%         124               124     0.00%           0                 0         -
ui/canvas/grid_layer.rs                                      2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
ui/canvas/node_layer/connection_dots.rs                     32                32     0.00%           4                 4     0.00%          22                22     0.00%           0                 0         -
ui/canvas/node_layer/handlers.rs                           149               149     0.00%           3                 3     0.00%         136               136     0.00%           0                 0         -
ui/canvas/node_layer/inline_edit.rs                         58                58     0.00%           6                 6     0.00%          45                45     0.00%           0                 0         -
ui/canvas/node_layer/mod.rs                                 80                80     0.00%           6                 6     0.00%          54                54     0.00%           0                 0         -
ui/canvas/node_layer/node_content.rs                        51                51     0.00%          12                12     0.00%          33                33     0.00%           0                 0         -
ui/canvas/node_layer/node_element.rs                        71                71     0.00%          11                11     0.00%          54                54     0.00%           0                 0         -
ui/canvas/node_layer/state.rs                               88                88     0.00%           1                 1     0.00%          86                86     0.00%           0                 0         -
ui/canvas/root_container/handlers/double_click.rs          150               150     0.00%           8                 8     0.00%          93                93     0.00%           0                 0         -
ui/canvas/root_container/handlers/mouse_down.rs            271               271     0.00%           6                 6     0.00%         172               172     0.00%           0                 0         -
ui/canvas/root_container/handlers/mouse_move.rs             52                52     0.00%           3                 3     0.00%          47                47     0.00%           0                 0         -
ui/canvas/root_container/handlers/mouse_up.rs              222               222     0.00%           6                 6     0.00%         161               161     0.00%           0                 0         -
ui/canvas/root_container/handlers/wheel.rs                  52                52     0.00%           2                 2     0.00%          29                29     0.00%           0                 0         -
ui/canvas/root_container/mod.rs                             53                53     0.00%          14                14     0.00%          26                26     0.00%           0                 0         -
ui/canvas/root_handlers/drop.rs                            102               102     0.00%           7                 7     0.00%          79                79     0.00%           0                 0         -
ui/canvas/root_handlers/keyboard.rs                        242               242     0.00%           5                 5     0.00%         194               194     0.00%           0                 0         -
ui/canvas/root_handlers/middle_pan.rs                        6                 6     0.00%           2                 2     0.00%          25                25     0.00%           0                 0         -
ui/canvas/root_handlers/raf.rs                              30                30     0.00%           3                 3     0.00%          50                50     0.00%           0                 0         -
ui/canvas/root_handlers/resize.rs                           41                41     0.00%           3                 3     0.00%          99                99     0.00%           0                 0         -
ui/canvas/root_handlers/touch.rs                            39                39     0.00%           3                 3     0.00%          60                60     0.00%           0                 0         -
ui/canvas/state/canvas_state.rs                            134               134     0.00%           3                 3     0.00%         103               103     0.00%           0                 0         -
ui/canvas/state/editor_fsm.rs                               72                 4    94.44%           1                 0   100.00%          62                 4    93.55%           0                 0         -
ui/canvas/state/mod.rs                                     204                 1    99.51%          17                 0   100.00%         154                 0   100.00%           0                 0         -
ui/canvas/toolbar.rs                                       108               108     0.00%          14                14     0.00%          50                50     0.00%           0                 0         -
ui/commands/alignment.rs                                   148               148     0.00%          13                13     0.00%         124               124     0.00%           0                 0         -
ui/commands/clipboard.rs                                   271               271     0.00%          27                27     0.00%         188               188     0.00%           0                 0         -
ui/commands/distribution.rs                                138               138     0.00%          11                11     0.00%          86                86     0.00%           0                 0         -
ui/commands/selection.rs                                   326               326     0.00%          26                26     0.00%         218               218     0.00%           0                 0         -
ui/commands/zoom.rs                                        149               149     0.00%          10                10     0.00%         106               106     0.00%           0                 0         -
ui/commands/zorder.rs                                       90                90     0.00%           7                 7     0.00%          71                71     0.00%           0                 0         -
ui/dispatch/create.rs                                      114               114     0.00%          17                17     0.00%         140               140     0.00%           0                 0         -
ui/dispatch/send/edge.rs                                   104               104     0.00%           4                 4     0.00%          85                85     0.00%           0                 0         -
ui/dispatch/send/group.rs                                   31                31     0.00%           2                 2     0.00%          35                35     0.00%           0                 0         -
ui/dispatch/send/node.rs                                    65                65     0.00%           5                 5     0.00%          85                85     0.00%           0                 0         -
ui/dispatch/send/style.rs                                   55                55     0.00%           3                 3     0.00%          54                54     0.00%           0                 0         -
ui/dispatch/send/zorder.rs                                  68                68     0.00%           4                 4     0.00%          80                80     0.00%           0                 0         -
ui/dispatch/validators.rs                                   47                47     0.00%           3                 3     0.00%          38                38     0.00%           0                 0         -
ui/editor.rs                                                 9                 9     0.00%           1                 1     0.00%           9                 9     0.00%           0                 0         -
ui/grid/size.rs                                              4                 4     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
ui/grid/snapping.rs                                         58                58     0.00%           7                 7     0.00%          52                52     0.00%           0                 0         -
ui/icons.rs                                                 28                28     0.00%           2                 2     0.00%          28                28     0.00%           0                 0         -
ui/interaction/drag.rs                                      90                90     0.00%          10                10     0.00%          62                62     0.00%           0                 0         -
ui/interaction/edges.rs                                     24                24     0.00%           2                 2     0.00%          16                16     0.00%           0                 0         -
ui/interaction/selection.rs                                103               103     0.00%          11                11     0.00%          63                63     0.00%           0                 0         -
ui/interaction/snapping.rs                                  26                26     0.00%           2                 2     0.00%          10                10     0.00%           0                 0         -
ui/mobile.rs                                               109               109     0.00%          15                15     0.00%         170               170     0.00%           0                 0         -
ui/panels.rs                                                 3                 3     0.00%           1                 1     0.00%           7                 7     0.00%           0                 0         -
ui/sidebar/components.rs                                    52                52     0.00%          14                14     0.00%          29                29     0.00%           0                 0         -
ui/sidebar/icon_tile.rs                                     27                27     0.00%           6                 6     0.00%          17                17     0.00%           0                 0         -
ui/sidebar/mod.rs                                          158               158     0.00%          19                19     0.00%          95                95     0.00%           0                 0         -
ui/sidebar/models.rs                                       431               108    74.94%          32                 8    75.00%         276                80    71.01%           0                 0         -
ui/sidebar_persistence.rs                                    2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
ui/sidebar_primitives/core.rs                               28                28     0.00%          15                15     0.00%          21                21     0.00%           0                 0         -
ui/sidebar_primitives/group.rs                               8                 8     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
ui/sidebar_primitives/menu.rs                               21                21     0.00%           9                 9     0.00%          19                19     0.00%           0                 0         -
ui/sidebar_primitives/provider.rs                           33                33     0.00%          11                11     0.00%          31                31     0.00%           0                 0         -
ui/sidebar_primitives/trigger.rs                            27                27     0.00%           6                 6     0.00%          21                21     0.00%           0                 0         -
ui/sidebar_primitives/utils.rs                               7                 7     0.00%           3                 3     0.00%           5                 5     0.00%           0                 0         -
ui/theme.rs                                                 39                39     0.00%           6                 6     0.00%          88                88     0.00%           0                 0         -
ui/theme_provider.rs                                         5                 5     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
ui/toast/data.rs                                            96                96     0.00%          11                11     0.00%          77                77     0.00%           0                 0         -
ui/toast/mod.rs                                            123               123     0.00%          18                18     0.00%          80                80     0.00%           0                 0         -
ui/toast/render.rs                                         107               107     0.00%          15                15     0.00%          76                76     0.00%           0                 0         -
ui/toast/state.rs                                          110               110     0.00%          19                19     0.00%          81                81     0.00%           0                 0         -
