Filename                                               Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
app/async_sync.rs                                          150               144     4.00%          13                11    15.38%         122               103    15.57%           0                 0         -
app/autosave_hooks.rs                                        3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
app/mod.rs                                                  41                41     0.00%           3                 3     0.00%          40                40     0.00%           0                 0         -
app/state.rs                                                32                 0   100.00%           2                 0   100.00%          19                 0   100.00%           0                 0         -
app/validation.rs                                          309               113    63.43%          22                 9    59.09%         166                69    58.43%           0                 0         -
core/clipboard.rs                                          184                17    90.76%          12                 2    83.33%         101                 4    96.04%           0                 0         -
core/delete.rs                                              68                11    83.82%           3                 0   100.00%          33                 4    87.88%           0                 0         -
core/grouping/mod.rs                                       117                 3    97.44%           7                 0   100.00%          67                 0   100.00%           0                 0         -
core/history.rs                                             33                 7    78.79%           3                 1    66.67%          19                 5    73.68%           0                 0         -
core/keyboard.rs                                            42                16    61.90%           1                 0   100.00%          25                 6    76.00%           0                 0         -
core/nudge.rs                                               38                 2    94.74%           2                 0   100.00%          28                 1    96.43%           0                 0         -
core/routing.rs                                            117                21    82.05%          13                 5    61.54%         102                29    71.57%           0                 0         -
core/scale.rs                                               48                 0   100.00%           2                 0   100.00%          32                 0   100.00%           0                 0         -
core/transform.rs                                          305                12    96.07%          36                 0   100.00%         215                14    93.49%           0                 0         -
core/z_order.rs                                            208                 4    98.08%          20                 0   100.00%         123                 3    97.56%           0                 0         -
export/png.rs                                               82                49    40.24%           4                 3    25.00%          55                44    20.00%           0                 0         -
export/svg.rs                                               28                 0   100.00%           1                 0   100.00%          12                 0   100.00%           0                 0         -
export/svg_builder/edges.rs                                 78                52    33.33%           5                 4    20.00%          81                61    24.69%           0                 0         -
export/svg_builder/fonts.rs                                 35                15    57.14%           2                 0   100.00%          17                 5    70.59%           0                 0         -
export/svg_builder/grid.rs                                  77                33    57.14%           5                 2    60.00%          69                47    31.88%           0                 0         -
export/svg_builder/nodes.rs                                 38                13    65.79%           1                 0   100.00%          20                 8    60.00%           0                 0         -
export/svg_builder/styles.rs                                 7                 2    71.43%           2                 1    50.00%           6                 1    83.33%           0                 0         -
geometry/hit_test_margin.rs                                 76                 2    97.37%           5                 0   100.00%          40                 0   100.00%           0                 0         -
geometry/intersection.rs                                   447               104    76.73%          19                 2    89.47%         181                40    77.90%           0                 0         -
geometry/operations.rs                                     161               161     0.00%          14                14     0.00%          82                82     0.00%           0                 0         -
geometry/operations/container_bounds.rs                    112                44    60.71%           4                 2    50.00%          67                29    56.72%           0                 0         -
geometry/operations/edge_bounds.rs                         236                 2    99.15%           7                 1    85.71%         118                 2    98.31%           0                 0         -
geometry/path.rs                                           192                17    91.15%          11                 1    90.91%         115                13    88.70%           0                 0         -
geometry/polygon.rs                                          3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
geometry/routing.rs                                        185                14    92.43%          13                 1    92.31%         112                 9    91.96%           0                 0         -
geometry/snap/alignment/anchor.rs                          152                 8    94.74%          24                 2    91.67%          92                 6    93.48%           0                 0         -
geometry/snap/alignment/distribute.rs                       64                 0   100.00%           7                 0   100.00%          38                 0   100.00%           0                 0         -
geometry/snap/alignment/guide.rs                           102                11    89.22%          10                 0   100.00%          59                 5    91.53%           0                 0         -
geometry/snap/alignment/node_snap.rs                       129                 1    99.22%           4                 0   100.00%          75                 1    98.67%           0                 0         -
geometry/snap/alignment/resize.rs                           75                36    52.00%           6                 3    50.00%          85                40    52.94%           0                 0         -
geometry/snap/grid.rs                                       23                12    47.83%           2                 1    50.00%          15                 7    53.33%           0                 0         -
geometry/snap/grid_snap.rs                                  57                26    54.39%           5                 3    40.00%          42                16    61.90%           0                 0         -
geometry/snap/mod.rs                                       134                30    77.61%          15                 4    73.33%          95                13    86.32%           0                 0         -
geometry/snap/mod_types.rs                                  80                30    62.50%          20                 7    65.00%          81                23    71.60%           0                 0         -
geometry/transforms.rs                                     184                 0   100.00%          10                 0   100.00%         104                 0   100.00%           0                 0         -
hooks/e2e_reset.rs                                          77                77     0.00%           4                 4     0.00%          89                89     0.00%           0                 0         -
hooks/keyboard.rs                                          104               104     0.00%           4                 4     0.00%         125               125     0.00%           0                 0         -
icons.rs                                                     6                 6     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
layout/dag.rs                                               92                 0   100.00%           8                 0   100.00%          59                 0   100.00%           0                 0         -
layout/dag/apply.rs                                         53                44    16.98%           5                 4    20.00%          41                27    34.15%           0                 0         -
layout/dag/crossing.rs                                      91                 1    98.90%          10                 0   100.00%          69                 1    98.55%           0                 0         -
layout/dag/graph.rs                                         59                 1    98.31%           6                 0   100.00%          36                 0   100.00%           0                 0         -
layout/dag/layering.rs                                      50                 0   100.00%           6                 0   100.00%          29                 0   100.00%           0                 0         -
layout/dag/positioning.rs                                   42                 0   100.00%           3                 0   100.00%          24                 0   100.00%           0                 0         -
layout/dag_tests/atdd_specifications.rs                    168                 0   100.00%           5                 0   100.00%          68                 0   100.00%           0                 0         -
layout/dag_tests/dsl.rs                                     95                10    89.47%           8                 2    75.00%          82                 7    91.46%           0                 0         -
layout/grid/algorithm.rs                                   232                11    95.26%          25                 1    96.00%         134                 2    98.51%           0                 0         -
main.rs                                                     23                23     0.00%           1                 1     0.00%          12                12     0.00%           0                 0         -
mutation/error.rs                                           12                12     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
mutation/ops.rs                                             49                49     0.00%           3                 3     0.00%          36                36     0.00%           0                 0         -
mutation/pipeline.rs                                        31                31     0.00%           3                 3     0.00%          37                37     0.00%           0                 0         -
mutation/pipeline_stages/apply.rs                            3                 3     0.00%           1                 1     0.00%           8                 8     0.00%           0                 0         -
mutation/pipeline_stages/conflict_resolution.rs              3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
mutation/pipeline_stages/history_append.rs                   8                 8     0.00%           1                 1     0.00%          10                10     0.00%           0                 0         -
mutation/pipeline_stages/validation.rs                      19                19     0.00%           3                 3     0.00%          15                15     0.00%           0                 0         -
mutation/ui_helpers.rs                                      82                82     0.00%           8                 8     0.00%          64                64     0.00%           0                 0         -
store/types/core_types.rs                                   63                10    84.13%          12                 2    83.33%          53                 8    84.91%           0                 0         -
store/types/durable_types.rs                                41                41     0.00%           4                 4     0.00%          32                32     0.00%           0                 0         -
store/types/outbox_types.rs                                 38                38     0.00%           4                 4     0.00%          30                30     0.00%           0                 0         -
store/types/pagination_types.rs                              6                 6     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
store_async/append.rs                                      322                74    77.02%          22                13    40.91%         220                49    77.73%           0                 0         -
store_async/bootstrap.rs                                   174                23    86.78%           8                 0   100.00%         137                 3    97.81%           0                 0         -
store_async/fetch.rs                                       124                63    49.19%          10                 5    50.00%          85                38    55.29%           0                 0         -
store_async/parse.rs                                        65                 6    90.77%           7                 1    85.71%          46                 4    91.30%           0                 0         -
store_async/revision.rs                                     25                14    44.00%           6                 4    33.33%          17                 9    47.06%           0                 0         -
store_async/types.rs                                        14                14     0.00%           2                 2     0.00%          14                14     0.00%           0                 0         -
store_bridge.rs                                            298                17    94.30%          26                 3    88.46%         158                 4    97.47%           0                 0         -
test_utils/builders/doc.rs                                 153               153     0.00%          11                11     0.00%         108               108     0.00%           0                 0         -
test_utils/builders/edge.rs                                 55                19    65.45%           7                 4    42.86%          62                15    75.81%           0                 0         -
test_utils/builders/node.rs                                109                37    66.06%          15                 6    60.00%          88                26    70.45%           0                 0         -
test_utils/fixtures.rs                                     161               161     0.00%          26                26     0.00%         125               125     0.00%           0                 0         -
test_utils/generators.rs                                   207               207     0.00%           9                 9     0.00%         161               161     0.00%           0                 0         -
